0.2.149,522
0.3.154,522
0.4.154,525
1.0.154,528
2.0.172,530
3.0.195,532
4.0.249,532.5
4.1.249,532.5
5.0.375,533
6.0.472,534.3
7.0.517,534.7
8.0.552,534.1
9.0.597,534.13
10.0.648,534.16
11.0.696,534.24
12.0.742,534.3
13.0.782,535.1
14.0.835,535.1
15.0.874,535.2
16.0.912,535.7
17.0.963,535.11
18.0.1025,535.19
19.0.1084,536.5
20.0.1132,536.1
21.0.1180,537.1
22.0.1229,537.4
23.0.1271,537.11
24.0.1312,537.17
25.0.1364,537.22
26.0.1410,537.31
27.0.1453,537.36
28.0.1500,537.36
29.0.1547,537.36
30.0.1599,537.36
31.0.1650,537.36
32.0.1700,537.36
33.0.1750,537.36
34.0.1847,537.36
35.0.1916,537.36
36.0.1985,537.36
37.0.2062,537.36
38.0.2125,537.36
39.0.2171,537.36
40.0.2214,537.36
41.0.2272,537.36
42.0.2311,537.36
43.0.2357,537.36
44.0.2403,537.36
45.0.2454,537.36
46.0.2490,537.36
47.0.2526,537.36
48.0.2564,537.36
49.0.2623,537.36
50.0.2661,537.36
51.0.2704,537.36
52.0.2743,537.36
53.0.2785,537.36
54.0.2840,537.36
55.0.2883,537.36
56.0.2924,537.36
57.0.2987,537.36
58.0.3029,537.36
59.0.3071,537.36
60.0.3112,537.36
61.0.3163,537.36
62.0.3202,537.36
63.0.3239,537.36
64.0.3282,537.36
65.0.3325,537.36
66.0.3359,537.36
67.0.3396,537.36
68.0.3440,537.36
69.0.3497,537.36
70.0.3538,537.36
71.0.3578,537.36
72.0.3626,537.36
73.0.3683,537.36
74.0.3729,537.36
