OPD1.170816.012	8.0.0	Pixel 2 XL, Pixel 2
OPD1.170816.011	8.0.0	Pixel 2 XL, Pixel 2
OPD1.170816.010	8.0.0	Pixel 2 XL, Pixel 2
OPR5.170623.007	8.0.0	Nexus 6P
OPR4.170623.009	8.0.0	Nexus 5X
OPR3.170623.008	8.0.0	Pixel XL, Pixel
OPR1.170623.027	8.0.0	Pixel XL, Pixel, Pixel C
OPR6.170623.021	8.0.0	Nexus Player
OPR6.170623.019	8.0.0	Nexus 6P
OPR4.170623.006	8.0.0	Nexus 5X
OPR3.170623.007	8.0.0	Pixel XL, Pixel
OPR1.170623.026	8.0.0	Pixel XL, Pixel, Pixel C
OPR6.170623.013	8.0.0	Nexus 5X, Nexus 6P
OPR6.170623.012	8.0.0	Pixel XL, Pixel
OPR6.170623.011	8.0.0	Pixel XL, Pixel
OPR6.170623.010	8.0.0	Pixel C
NZH54D	7.1.2	Pixel XL, Pixel
NKG47S	7.1.2	Pixel XL, Pixel
NHG47Q	7.1.2	Pixel XL, Pixel
NJH47F	7.1.2	Pixel XL, Pixel
N2G48C	7.1.2	Nexus 5X, Nexus 6P, Nexus Player, Pixel C
NZH54B	7.1.2	Pixel XL, Pixel
NKG47M	7.1.2	Pixel XL, Pixel
NJH47D	7.1.2	Pixel XL, Pixel
NHG47O	7.1.2	Pixel XL, Pixel
N2G48B	7.1.2	Nexus 6P, Nexus Player, Pixel C
N2G47Z	7.1.2	Nexus 5X
NJH47B	7.1.2	Pixel XL, Pixel
NJH34C	7.1.2	Pixel XL, Pixel
NKG47L	7.1.2	Pixel XL, Pixel
NHG47N	7.1.2	Pixel XL, Pixel
N2G47X	7.1.2	Nexus Player
N2G47W	7.1.2	Nexus 5X, Nexus 6P, Pixel C
NHG47L	7.1.2	Pixel XL, Pixel
N2G47T	7.1.2	Pixel XL, Pixel
N2G47R	7.1.2	Nexus Player
N2G47O	7.1.2	Nexus 5X, Nexus 6P, Pixel XL, Pixel, Pixel C
NHG47K	7.1.2	Pixel XL, Pixel
N2G47J	7.1.2	Pixel XL, Pixel
N2G47H	7.1.2	Nexus 6P, Nexus Player
N2G47F	7.1.2	Nexus 5X
N2G47E	7.1.2	Pixel XL, Pixel
N2G47D	7.1.2	Pixel C
N9F27M	7.1.1	Nexus 9
NGI77B	7.1.1	Nexus 6
N8I11F	7.1.1	Nexus 6
N6F27M	7.1.1	Nexus 6
N4F27P	7.1.1	Nexus 9
N9F27L	7.1.1	Nexus 9
NGI55D	7.1.1	Nexus 6
N4F27O	7.1.1	Nexus 9
N8I11B	7.1.1	Nexus 6
N9F27H	7.1.1	Nexus 9
N6F27I	7.1.1	Nexus 6
N4F27K	7.1.1	Nexus 9
N9F27F	7.1.1	Nexus 9
N6F27H	7.1.1	Nexus 6
N4F27I	7.1.1	Nexus 9
N9F27C	7.1.1	Nexus 9
N6F27E	7.1.1	Nexus 6
N4F27E	7.1.1	Nexus 9
N6F27C	7.1.1	Nexus 6
N4F27B	7.1.1	Nexus 9
N6F26Y	7.1.1	Nexus 6
NOF27D	7.1.1	Pixel XL, Pixel
N4F26X	7.1.1	Nexus 9
N4F26U	7.1.1	Nexus 5X, Nexus 6P
N6F26U	7.1.1	Nexus 6
NUF26N	7.1.1	Nexus 6P
NOF27C	7.1.1	Pixel XL, Pixel
NOF27B	7.1.1	Pixel XL, Pixel
N4F26T	7.1.1	Nexus 5X, Nexus 6P, Nexus 9, Pixel C
NMF27D	7.1.1	Nexus Player
NMF26X	7.1.1	Nexus Player
NOF26W	7.1.1	Pixel XL, Pixel
NOF26V	7.1.1	Pixel XL, Pixel
N6F26R	7.1.1	Nexus 6
NUF26K	7.1.1	Nexus 6P
N4F26Q	7.1.1	Nexus 9
N4F26O	7.1.1	Nexus 5X, Nexus 6P, Pixel C
N6F26Q	7.1.1	Nexus 6
N4F26M	7.1.1	Nexus 9
N4F26J	7.1.1	Nexus 5X, Nexus 6P
N4F26I	7.1.1	Nexus 5X, Nexus 6P, Pixel C
NMF26V	7.1.1	Pixel XL, Pixel
NMF26U	7.1.1	Pixel XL, Pixel
NMF26R	7.1.1	Nexus Player
NMF26Q	7.1.1	Pixel XL, Pixel
NMF26O	7.1.1	Pixel XL, Pixel
NMF26J	7.1.1	Nexus Player
NMF26H	7.1.1	Pixel C
NMF26F	7.1.1	Nexus 5X, Nexus 6P, Nexus 9
NDE63X	7.1.0	Pixel XL, Pixel
NDE63V	7.1.0	Pixel XL, Pixel
NDE63U	7.1.0	Pixel XL, Pixel
NDE63P	7.1.0	Pixel XL, Pixel
NDE63L	7.1.0	Pixel XL, Pixel
NDE63H	7.1.0	Pixel XL, Pixel
NBD92G	7.0.0	Nexus 6
NBD92F	7.0.0	Nexus 6
NBD92E	7.0.0	Nexus 6
NBD92D	7.0.0	Nexus 6
NBD91Z	7.0.0	Nexus 6
NBD91Y	7.0.0	Nexus 6
NBD91X	7.0.0	Nexus 6
NBD91U	7.0.0	Nexus 6
N5D91L	7.0.0	Nexus 5X
NBD91P	7.0.0	Nexus 6
NRD91K	7.0.0	Nexus 6P
NRD91N	7.0.0	Nexus 5X, Pixel C, Nexus Player, Nexus 9
NBD90Z	7.0.0	Nexus 6
NBD90X	7.0.0	Nexus 6P
NBD90W	7.0.0	Nexus 5X
NRD91D	7.0.0	Pixel C, Nexus Player, Nexus 9
NRD90U	7.0.0	Nexus 6P
NRD90T	7.0.0	Nexus 6P
NRD90S	7.0.0	Nexus 5X
NRD90R	7.0.0	Nexus 5X, Nexus 9, Nexus Player, Pixel C
NRD90M	7.0.0	Nexus 5X, Nexus 9, Nexus Player, Pixel C
MOB31T	6.0.1	Nexus 6
MOB31S	6.0.1	Nexus 6
M4B30Z	6.0.1	Nexus 5
MOB31K	6.0.1	Nexus 6
MMB31C	6.0.1	Nexus 6
M4B30X	6.0.1	Nexus 5
MOB31H	6.0.1	Nexus 6
MMB30Y	6.0.1	Nexus 6
MTC20K	6.0.1	Nexus 5X
MOB31E	6.0.1	Nexus 5, Nexus 6, Nexus 9
MMB30W	6.0.1	Nexus 6
